transaction_id,customer_id,date,product_category,amount,items_count,payment_method,is_online,total_amount,year,month,day_of_week,is_weekend
46,325,2024-01-29,Clothing,119.99,2,PayPal,True,239.98,2024,1,0,False
47,689,2024-05-22,Books,12.96,3,Credit Card,True,38.88,2024,5,2,False
48,636,2024-03-07,Clothing,138.22,2,Credit Card,True,276.44,2024,3,3,False
49,669,2024-04-26,Books,12.73,1,Credit Card,True,12.73,2024,4,4,False
50,483,2024-01-25,Home & Garden,102.2,2,PayPal,True,204.4,2024,1,3,False
51,778,2024-09-30,Books,38.27,4,Credit Card,True,153.08,2024,9,0,False
52,508,2024-03-29,Books,44.64,1,Credit Card,True,44.64,2024,3,4,False
53,79,2024-02-01,Sports,190.72,4,Credit Card,True,762.88,2024,2,3,False
54,610,2024-11-17,Home & Garden,43.63,1,Credit Card,True,43.63,2024,11,6,True
55,137,2024-07-01,Electronics,1885.34,2,Credit Card,False,3770.68,2024,7,0,False
56,928,2024-02-28,Clothing,58.64,2,Credit Card,True,117.28,2024,2,2,False
57,419,2024-04-12,Clothing,154.71,3,PayPal,False,464.13,2024,4,4,False
58,605,2024-09-30,Home & Garden,148.36,3,Credit Card,True,445.08000000000004,2024,9,0,False
59,41,2024-06-25,Electronics,1431.65,1,Credit Card,True,1431.65,2024,6,1,False
60,47,2024-10-10,Home & Garden,126.11,2,Credit Card,True,252.22,2024,10,3,False
61,61,2024-01-29,Books,34.27,3,Credit Card,True,102.81,2024,1,0,False
62,338,2024-11-04,Clothing,88.99,4,Bank Transfer,True,355.96,2024,11,0,False
63,970,2023-12-20,Books,39.72,4,Bank Transfer,True,158.88,2023,12,2,False
64,721,2024-09-30,Clothing,57.12,3,Credit Card,True,171.35999999999999,2024,9,0,False
65,865,2024-06-13,Home & Garden,262.15,2,PayPal,True,524.3,2024,6,3,False
66,570,2023-12-15,Sports,168.54,2,Credit Card,True,337.08,2023,12,4,False
67,619,2024-11-05,Home & Garden,241.68,2,PayPal,True,483.36,2024,11,1,False
68,698,2024-06-10,Books,18.04,2,Credit Card,True,36.08,2024,6,0,False
69,988,2024-05-19,Home & Garden,105.88,3,Credit Card,True,317.64,2024,5,6,True
70,614,2024-11-04,Electronics,312.57,1,Credit Card,True,312.57,2024,11,0,False
71,242,2024-08-25,Sports,210.96,3,Credit Card,True,632.88,2024,8,6,True
72,140,2024-03-04,Home & Garden,169.05,3,Credit Card,True,507.15000000000003,2024,3,0,False
73,52,2024-01-03,Clothing,162.07,3,Credit Card,False,486.21,2024,1,2,False
74,548,2024-08-24,Sports,104.75,2,Credit Card,True,209.5,2024,8,5,True
75,213,2024-01-30,Electronics,846.19,3,PayPal,True,2538.57,2024,1,1,False
76,630,2024-03-26,Electronics,1386.19,1,Credit Card,True,1386.19,2024,3,1,False
77,895,2024-05-12,Electronics,662.29,3,PayPal,True,1986.87,2024,5,6,True
78,495,2024-08-22,Home & Garden,61.74,1,PayPal,False,61.74,2024,8,3,False
79,646,2024-08-26,Sports,140.86,2,Credit Card,True,281.72,2024,8,0,False
80,416,2024-08-12,Books,24.17,4,Credit Card,True,96.68,2024,8,0,False
81,540,2024-12-01,Clothing,64.16,3,Credit Card,True,192.48,2024,12,6,True
82,664,2024-10-01,Home & Garden,296.29,1,Credit Card,True,296.29,2024,10,1,False
83,195,2024-01-17,Books,26.47,2,Credit Card,True,52.94,2024,1,2,False
84,141,2024-04-10,Books,33.02,1,Credit Card,True,33.02,2024,4,2,False
85,245,2024-01-27,Electronics,1872.94,3,Credit Card,True,5618.82,2024,1,5,True
86,325,2024-03-05,Sports,226.53,3,PayPal,False,679.59,2024,3,1,False
87,753,2024-10-11,Electronics,1606.24,1,PayPal,True,1606.24,2024,10,4,False
88,629,2024-03-05,Sports,81.99,1,PayPal,True,81.99,2024,3,1,False
89,93,2024-09-17,Electronics,1702.32,3,Credit Card,True,5106.96,2024,9,1,False
90,339,2024-07-18,Sports,217.37,1,Credit Card,True,217.37,2024,7,3,False
91,232,2024-07-19,Electronics,1813.37,4,Credit Card,True,7253.48,2024,7,4,False
92,751,2024-06-10,Home & Garden,230.63,3,Credit Card,True,691.89,2024,6,0,False
93,82,2024-01-25,Sports,140.51,2,Credit Card,False,281.02,2024,1,3,False
94,746,2024-05-05,Books,27.86,3,Credit Card,True,83.58,2024,5,6,True
95,951,2024-10-11,Books,24.98,4,PayPal,True,99.92,2024,10,4,False
96,96,2023-12-31,Books,25.17,2,PayPal,True,50.34,2023,12,6,True
97,671,2024-08-10,Home & Garden,55.75,4,Credit Card,True,223.0,2024,8,5,True
98,250,2024-02-02,Electronics,1585.72,1,Credit Card,True,1585.72,2024,2,4,False
99,721,2023-12-23,Home & Garden,211.21,4,PayPal,True,844.84,2023,12,5,True
100,265,2024-05-06,Home & Garden,135.5,2,Bank Transfer,True,271.0,2024,5,0,False
101,789,2024-10-09,Books,40.97,2,Credit Card,True,81.94,2024,10,2,False
102,844,2024-06-25,Clothing,94.69,3,Credit Card,True,284.07,2024,6,1,False
103,825,2024-11-02,Books,33.99,2,Credit Card,False,67.98,2024,11,5,True
104,395,2024-05-19,Home & Garden,180.64,2,PayPal,True,361.28,2024,5,6,True
105,791,2024-07-19,Clothing,192.53,1,Credit Card,True,192.53,2024,7,4,False
106,678,2024-05-04,Books,19.0,2,Credit Card,True,38.0,2024,5,5,True
107,622,2024-03-18,Clothing,137.85,3,Credit Card,True,413.54999999999995,2024,3,0,False
108,480,2024-03-08,Home & Garden,295.49,4,Credit Card,True,1181.96,2024,3,4,False
109,161,2024-11-14,Home & Garden,88.65,1,Credit Card,True,88.65,2024,11,3,False
110,608,2024-07-02,Sports,210.47,4,Credit Card,True,841.88,2024,7,1,False
111,56,2024-06-08,Electronics,1076.98,3,Bank Transfer,False,3230.94,2024,6,5,True
112,258,2024-03-23,Clothing,64.82,2,PayPal,False,129.64,2024,3,5,True
113,276,2024-07-25,Books,23.07,3,PayPal,True,69.21000000000001,2024,7,3,False
114,365,2023-12-31,Books,19.66,3,Credit Card,True,58.980000000000004,2023,12,6,True
115,459,2024-06-08,Books,43.97,2,Credit Card,True,87.94,2024,6,5,True
116,803,2024-09-17,Sports,28.24,2,Bank Transfer,True,56.48,2024,9,1,False
117,928,2024-06-12,Home & Garden,256.02,3,Credit Card,False,768.06,2024,6,2,False
118,853,2024-08-09,Sports,157.06,1,Credit Card,True,157.06,2024,8,4,False
119,683,2024-09-29,Books,15.54,1,Credit Card,True,15.54,2024,9,6,True
120,622,2024-06-12,Books,34.74,3,Credit Card,False,104.22,2024,6,2,False
121,562,2024-04-10,Home & Garden,247.19,4,Bank Transfer,True,988.76,2024,4,2,False
122,189,2024-07-10,Books,37.1,2,Credit Card,False,74.2,2024,7,2,False
123,645,2024-01-04,Home & Garden,216.54,3,Bank Transfer,True,649.62,2024,1,3,False
124,833,2024-10-09,Books,42.41,1,Credit Card,True,42.41,2024,10,2,False
125,943,2024-05-17,Clothing,170.73,2,Credit Card,True,341.46,2024,5,4,False
126,375,2024-10-14,Electronics,1429.32,4,Credit Card,True,5717.28,2024,10,0,False
127,156,2024-06-11,Books,48.14,1,Credit Card,True,48.14,2024,6,1,False
128,804,2024-11-16,Clothing,153.3,4,Credit Card,True,613.2,2024,11,5,True
129,296,2024-05-17,Sports,161.54,4,Credit Card,True,646.16,2024,5,4,False
130,519,2024-10-28,Books,49.05,4,Credit Card,True,196.2,2024,10,0,False
131,931,2024-06-16,Electronics,157.05,2,PayPal,True,314.1,2024,6,6,True
132,264,2024-05-19,Electronics,1710.04,2,Credit Card,True,3420.08,2024,5,6,True
133,631,2024-03-19,Sports,208.82,4,PayPal,True,835.28,2024,3,1,False
134,98,2024-10-02,Books,18.43,2,Credit Card,True,36.86,2024,10,2,False
135,928,2024-10-21,Clothing,98.92,4,Bank Transfer,True,395.68,2024,10,0,False
136,56,2023-12-18,Home & Garden,85.96,4,Credit Card,True,343.84,2023,12,0,False
137,650,2024-11-03,Home & Garden,128.71,4,PayPal,True,514.84,2024,11,6,True
138,794,2024-09-17,Sports,227.1,2,Credit Card,False,454.2,2024,9,1,False
139,31,2024-12-01,Clothing,121.41,4,Credit Card,True,485.64,2024,12,6,True
140,424,2024-08-06,Clothing,45.93,3,Credit Card,True,137.79,2024,8,1,False
141,65,2024-04-09,Electronics,1970.05,2,PayPal,True,3940.1,2024,4,1,False
142,777,2024-03-09,Clothing,150.5,4,Credit Card,False,602.0,2024,3,5,True
143,399,2024-08-28,Electronics,696.36,3,Credit Card,True,2089.08,2024,8,2,False
144,40,2024-07-17,Electronics,130.06,1,Credit Card,True,130.06,2024,7,2,False
145,428,2024-11-04,Home & Garden,256.32,3,Credit Card,True,768.96,2024,11,0,False
146,187,2024-01-02,Home & Garden,168.74,4,Credit Card,False,674.96,2024,1,1,False
147,390,2024-09-26,Sports,155.35,2,PayPal,True,310.7,2024,9,3,False
148,551,2024-10-01,Home & Garden,130.49,4,Credit Card,True,521.96,2024,10,1,False
149,53,2024-05-04,Home & Garden,260.65,3,Credit Card,False,781.9499999999999,2024,5,5,True
150,422,2024-05-26,Sports,150.72,2,Credit Card,True,301.44,2024,5,6,True
151,906,2024-03-31,Books,13.48,1,PayPal,True,13.48,2024,3,6,True
152,702,2024-02-08,Sports,176.37,1,Credit Card,True,176.37,2024,2,3,False
153,487,2024-11-29,Home & Garden,198.34,2,PayPal,True,396.68,2024,11,4,False
154,337,2024-03-14,Sports,91.14,4,Bank Transfer,True,364.56,2024,3,3,False
155,474,2024-08-23,Books,46.34,3,Credit Card,True,139.02,2024,8,4,False
156,272,2024-12-10,Sports,196.1,3,Credit Card,False,588.3,2024,12,1,False
157,733,2024-04-18,Clothing,168.96,1,PayPal,True,168.96,2024,4,3,False
158,936,2024-08-18,Electronics,1373.06,4,Credit Card,True,5492.24,2024,8,6,True
159,926,2024-02-03,Home & Garden,148.31,2,Bank Transfer,True,296.62,2024,2,5,True
160,98,2024-05-18,Books,19.5,3,Credit Card,True,58.5,2024,5,5,True
161,953,2024-10-01,Electronics,1852.5,4,Credit Card,False,7410.0,2024,10,1,False
162,139,2024-08-31,Books,15.02,1,Credit Card,True,15.02,2024,8,5,True
163,853,2024-10-17,Sports,112.15,2,Credit Card,True,224.3,2024,10,3,False
164,822,2024-05-26,Books,41.01,3,Credit Card,True,123.03,2024,5,6,True
165,115,2024-10-10,Sports,34.34,3,Credit Card,True,103.02000000000001,2024,10,3,False
166,184,2024-11-14,Books,43.92,3,Credit Card,True,131.76,2024,11,3,False
167,177,2024-02-17,Clothing,81.16,1,Credit Card,True,81.16,2024,2,5,True
168,228,2024-04-09,Electronics,927.73,3,Credit Card,True,2783.19,2024,4,1,False
169,796,2024-05-16,Books,49.67,1,Bank Transfer,True,49.67,2024,5,3,False
170,900,2024-07-28,Clothing,63.2,4,Credit Card,True,252.8,2024,7,6,True
171,537,2024-02-26,Sports,67.61,4,Credit Card,True,270.44,2024,2,0,False
172,916,2023-12-18,Clothing,124.02,3,Credit Card,True,372.06,2023,12,0,False
173,464,2024-08-21,Books,10.28,4,PayPal,True,41.12,2024,8,2,False
174,983,2023-12-27,Clothing,84.22,4,Bank Transfer,True,336.88,2023,12,2,False
175,246,2024-09-14,Electronics,1486.45,3,Credit Card,True,4459.35,2024,9,5,True
176,628,2024-05-12,Electronics,429.35,1,Credit Card,True,429.35,2024,5,6,True
177,250,2024-02-14,Clothing,133.8,4,Credit Card,True,535.2,2024,2,2,False
178,875,2024-08-22,Electronics,514.03,3,PayPal,False,1542.09,2024,8,3,False
179,739,2024-05-12,Home & Garden,171.25,4,PayPal,True,685.0,2024,5,6,True
180,180,2024-05-26,Electronics,1670.45,1,PayPal,True,1670.45,2024,5,6,True
181,311,2024-11-05,Sports,51.71,1,Credit Card,True,51.71,2024,11,1,False
182,752,2024-12-10,Books,39.55,4,PayPal,False,158.2,2024,12,1,False
183,844,2024-09-13,Home & Garden,243.16,4,Credit Card,False,972.64,2024,9,4,False
184,890,2024-09-09,Home & Garden,100.11,3,PayPal,True,300.33,2024,9,0,False
185,247,2024-11-11,Clothing,29.5,4,Credit Card,True,118.0,2024,11,0,False
186,111,2024-01-26,Sports,56.02,2,Credit Card,False,112.04,2024,1,4,False
187,22,2024-06-29,Electronics,1802.18,4,Credit Card,False,7208.72,2024,6,5,True
188,602,2024-07-24,Electronics,260.91,1,Credit Card,False,260.91,2024,7,2,False
189,366,2024-11-28,Books,25.24,1,Credit Card,True,25.24,2024,11,3,False
190,753,2024-04-11,Sports,70.96,4,Credit Card,False,283.84,2024,4,3,False
191,407,2024-05-09,Electronics,1243.2,3,Credit Card,True,3729.6000000000004,2024,5,3,False
192,448,2024-04-14,Books,48.85,1,Bank Transfer,False,48.85,2024,4,6,True
193,887,2024-11-23,Home & Garden,238.86,3,PayPal,True,716.58,2024,11,5,True
194,916,2024-09-03,Books,37.25,2,PayPal,False,74.5,2024,9,1,False
195,381,2024-07-20,Sports,227.33,2,Credit Card,True,454.66,2024,7,5,True
196,966,2024-02-02,Sports,146.0,1,Credit Card,True,146.0,2024,2,4,False
197,808,2024-06-08,Home & Garden,37.87,4,Credit Card,True,151.48,2024,6,5,True
198,864,2024-04-19,Home & Garden,221.73,3,Credit Card,True,665.1899999999999,2024,4,4,False
199,159,2024-05-25,Books,22.52,2,PayPal,False,45.04,2024,5,5,True
200,103,2024-08-09,Books,35.19,3,Credit Card,True,105.57,2024,8,4,False
201,197,2024-05-05,Clothing,91.68,2,PayPal,True,183.36,2024,5,6,True
202,350,2024-08-12,Sports,78.36,4,Credit Card,False,313.44,2024,8,0,False
203,146,2024-03-16,Clothing,107.12,4,Credit Card,False,428.48,2024,3,5,True
204,447,2024-01-24,Books,43.14,3,Bank Transfer,False,129.42000000000002,2024,1,2,False
205,849,2024-02-19,Home & Garden,86.94,4,PayPal,False,347.76,2024,2,0,False
206,980,2024-07-15,Electronics,1588.27,3,Credit Card,True,4764.8099999999995,2024,7,0,False
207,316,2024-09-27,Electronics,1353.06,1,Credit Card,True,1353.06,2024,9,4,False
208,791,2024-05-24,Electronics,1283.23,3,Credit Card,True,3849.69,2024,5,4,False
209,924,2024-04-19,Electronics,1174.3,3,PayPal,False,3522.8999999999996,2024,4,4,False
210,494,2024-02-02,Electronics,747.04,3,Credit Card,True,2241.12,2024,2,4,False
211,48,2024-04-30,Home & Garden,50.74,3,Credit Card,False,152.22,2024,4,1,False
212,903,2024-05-17,Sports,77.08,4,Credit Card,True,308.32,2024,5,4,False
213,54,2024-01-16,Clothing,95.6,3,Credit Card,True,286.79999999999995,2024,1,1,False
214,656,2024-03-25,Clothing,160.69,3,Credit Card,True,482.07,2024,3,0,False
215,700,2024-01-14,Home & Garden,182.88,2,Credit Card,True,365.76,2024,1,6,True
216,591,2024-10-01,Books,46.17,3,Credit Card,True,138.51,2024,10,1,False
217,12,2024-07-24,Home & Garden,254.74,1,Credit Card,True,254.74,2024,7,2,False
218,981,2024-12-04,Home & Garden,281.21,4,Credit Card,True,1124.84,2024,12,2,False
219,613,2024-07-14,Home & Garden,87.0,2,PayPal,False,174.0,2024,7,6,True
220,293,2024-03-02,Sports,100.24,4,PayPal,True,400.96,2024,3,5,True
221,618,2024-11-21,Sports,206.22,3,Bank Transfer,True,618.66,2024,11,3,False
222,838,2024-01-28,Electronics,786.04,2,Credit Card,True,1572.08,2024,1,6,True
223,30,2024-10-28,Home & Garden,121.13,2,Credit Card,True,242.26,2024,10,0,False
224,868,2024-11-20,Sports,100.89,3,Credit Card,True,302.67,2024,11,2,False
225,550,2024-10-03,Books,45.0,3,PayPal,True,135.0,2024,10,3,False
226,50,2024-01-09,Home & Garden,42.23,3,PayPal,True,126.69,2024,1,1,False
227,836,2024-02-16,Clothing,34.62,2,Credit Card,True,69.24,2024,2,4,False
228,147,2024-07-06,Home & Garden,208.04,1,Credit Card,True,208.04,2024,7,5,True
229,288,2024-01-25,Sports,122.73,2,Credit Card,True,245.46,2024,1,3,False
230,864,2024-07-21,Electronics,1325.24,3,Bank Transfer,True,3975.7200000000003,2024,7,6,True
231,907,2024-01-06,Electronics,1581.08,2,Credit Card,True,3162.16,2024,1,5,True
232,225,2023-12-30,Electronics,470.52,3,Credit Card,True,1411.56,2023,12,5,True
233,618,2024-03-07,Clothing,112.09,3,Credit Card,False,336.27,2024,3,3,False
234,331,2024-05-31,Books,22.97,2,PayPal,False,45.94,2024,5,4,False
235,656,2024-01-31,Electronics,102.56,4,Credit Card,True,410.24,2024,1,2,False
236,778,2024-02-18,Sports,77.5,1,PayPal,True,77.5,2024,2,6,True
237,246,2024-05-18,Sports,72.78,1,PayPal,True,72.78,2024,5,5,True
238,336,2024-07-03,Electronics,448.56,1,Bank Transfer,True,448.56,2024,7,2,False
239,858,2024-05-25,Home & Garden,198.14,1,Credit Card,True,198.14,2024,5,5,True
240,578,2024-01-26,Home & Garden,211.67,4,Credit Card,True,846.68,2024,1,4,False
241,78,2024-06-01,Electronics,195.79,4,Credit Card,True,783.16,2024,6,5,True
242,906,2024-08-24,Sports,45.22,2,Credit Card,False,90.44,2024,8,5,True
243,332,2024-07-15,Clothing,45.79,4,Bank Transfer,True,183.16,2024,7,0,False
244,356,2024-05-09,Sports,94.27,1,PayPal,False,94.27,2024,5,3,False
245,663,2023-12-13,Books,20.88,3,Bank Transfer,True,62.64,2023,12,2,False
246,462,2024-04-25,Books,10.65,2,PayPal,False,21.3,2024,4,3,False
247,711,2024-10-27,Sports,55.28,4,Bank Transfer,True,221.12,2024,10,6,True
248,610,2024-03-26,Home & Garden,57.93,4,PayPal,True,231.72,2024,3,1,False
249,865,2024-04-11,Books,38.49,1,Credit Card,True,38.49,2024,4,3,False
250,251,2024-05-14,Sports,152.29,1,Credit Card,False,152.29,2024,5,1,False
251,941,2024-01-22,Clothing,89.97,1,Credit Card,True,89.97,2024,1,0,False
252,855,2024-09-07,Home & Garden,77.76,3,Bank Transfer,True,233.28000000000003,2024,9,5,True
253,528,2024-09-04,Clothing,180.44,3,PayPal,True,541.3199999999999,2024,9,2,False
254,849,2024-06-01,Electronics,1377.76,2,Credit Card,True,2755.52,2024,6,5,True
255,131,2024-06-07,Electronics,343.82,3,Credit Card,True,1031.46,2024,6,4,False
256,73,2024-06-28,Home & Garden,265.67,2,Bank Transfer,True,531.34,2024,6,4,False
257,653,2024-06-07,Books,40.7,4,Credit Card,True,162.8,2024,6,4,False
258,211,2024-05-26,Books,48.54,4,Credit Card,True,194.16,2024,5,6,True
259,924,2024-07-28,Sports,44.36,3,PayPal,False,133.07999999999998,2024,7,6,True
260,666,2024-10-31,Books,42.8,2,Credit Card,True,85.6,2024,10,3,False
261,742,2024-05-06,Home & Garden,272.44,4,Credit Card,True,1089.76,2024,5,0,False
262,359,2024-01-30,Books,49.86,4,PayPal,True,199.44,2024,1,1,False
263,563,2024-08-17,Books,31.19,1,Credit Card,True,31.19,2024,8,5,True
264,381,2024-08-16,Electronics,675.73,4,PayPal,True,2702.92,2024,8,4,False
265,7,2024-08-12,Electronics,883.33,2,Credit Card,True,1766.66,2024,8,0,False
266,540,2024-04-21,Clothing,194.48,2,PayPal,True,388.96,2024,4,6,True
267,164,2024-03-17,Electronics,407.65,2,Credit Card,True,815.3,2024,3,6,True
268,93,2024-06-22,Home & Garden,61.09,4,Bank Transfer,True,244.36,2024,6,5,True
269,559,2024-06-14,Books,27.68,4,Credit Card,True,110.72,2024,6,4,False
270,490,2024-12-05,Electronics,1332.65,2,Credit Card,True,2665.3,2024,12,3,False
271,391,2024-02-10,Electronics,862.78,4,Credit Card,True,3451.12,2024,2,5,True
272,930,2024-12-08,Home & Garden,228.28,3,PayPal,True,684.84,2024,12,6,True
273,457,2024-06-06,Clothing,123.86,1,Credit Card,True,123.86,2024,6,3,False
274,635,2024-02-17,Home & Garden,182.78,2,Credit Card,True,365.56,2024,2,5,True
275,528,2023-12-23,Sports,59.08,3,Credit Card,True,177.24,2023,12,5,True
276,944,2024-11-03,Clothing,110.45,2,Credit Card,True,220.9,2024,11,6,True
277,268,2024-05-04,Home & Garden,127.14,2,Credit Card,False,254.28,2024,5,5,True
278,383,2024-01-01,Electronics,1944.79,1,Credit Card,True,1944.79,2024,1,0,False
279,101,2024-09-08,Books,49.83,2,PayPal,True,99.66,2024,9,6,True
280,524,2024-08-16,Sports,164.03,3,Bank Transfer,True,492.09000000000003,2024,8,4,False
281,161,2024-04-21,Sports,54.74,3,PayPal,True,164.22,2024,4,6,True
282,950,2024-03-13,Home & Garden,191.85,3,Credit Card,True,575.55,2024,3,2,False
283,929,2023-12-14,Clothing,28.71,2,Credit Card,True,57.42,2023,12,3,False
284,881,2024-09-05,Home & Garden,245.94,2,Credit Card,False,491.88,2024,9,3,False
285,25,2024-06-10,Clothing,22.62,3,Bank Transfer,True,67.86,2024,6,0,False
286,224,2024-05-06,Home & Garden,33.87,1,Credit Card,True,33.87,2024,5,0,False
287,727,2024-05-29,Sports,196.83,4,PayPal,True,787.32,2024,5,2,False
288,783,2024-08-11,Clothing,49.41,3,PayPal,True,148.23,2024,8,6,True
289,518,2024-08-23,Books,44.19,1,Credit Card,True,44.19,2024,8,4,False
290,340,2024-06-20,Clothing,111.03,1,Credit Card,True,111.03,2024,6,3,False
291,195,2024-12-03,Sports,150.52,1,Credit Card,False,150.52,2024,12,1,False
292,425,2024-03-09,Clothing,117.43,1,Credit Card,True,117.43,2024,3,5,True
293,985,2024-02-10,Electronics,422.79,1,PayPal,True,422.79,2024,2,5,True
294,420,2024-03-08,Electronics,1980.06,3,PayPal,True,5940.18,2024,3,4,False
295,555,2024-01-13,Sports,89.33,3,Credit Card,True,267.99,2024,1,5,True
296,56,2024-07-10,Books,40.64,1,Credit Card,True,40.64,2024,7,2,False
297,68,2024-02-14,Electronics,1978.23,4,Bank Transfer,True,7912.92,2024,2,2,False
298,269,2024-05-29,Sports,46.82,2,PayPal,True,93.64,2024,5,2,False
299,813,2024-06-20,Clothing,186.04,3,Credit Card,True,558.12,2024,6,3,False
300,147,2024-11-07,Books,23.0,2,PayPal,False,46.0,2024,11,3,False
301,728,2024-04-23,Home & Garden,200.29,3,Bank Transfer,True,600.87,2024,4,1,False
302,850,2024-09-27,Books,39.23,4,PayPal,True,156.92,2024,9,4,False
303,891,2024-06-15,Home & Garden,263.93,1,Bank Transfer,False,263.93,2024,6,5,True
304,168,2024-09-23,Books,37.03,2,Credit Card,False,74.06,2024,9,0,False
305,419,2024-06-22,Home & Garden,65.91,4,PayPal,True,263.64,2024,6,5,True
306,744,2024-09-18,Clothing,198.48,1,Credit Card,True,198.48,2024,9,2,False
307,875,2023-12-26,Books,24.31,3,Credit Card,True,72.92999999999999,2023,12,1,False
308,313,2024-08-31,Sports,149.53,1,Credit Card,True,149.53,2024,8,5,True
309,682,2024-07-30,Books,41.21,4,PayPal,True,164.84,2024,7,1,False
310,109,2024-02-03,Sports,204.15,2,Credit Card,True,408.3,2024,2,5,True
311,343,2024-07-17,Electronics,596.53,1,Credit Card,True,596.53,2024,7,2,False
312,537,2024-10-15,Clothing,21.16,2,Bank Transfer,True,42.32,2024,10,1,False
313,75,2024-07-23,Sports,48.55,3,Credit Card,True,145.64999999999998,2024,7,1,False
314,146,2024-04-15,Books,24.47,4,Credit Card,False,97.88,2024,4,0,False
315,153,2024-08-08,Home & Garden,185.82,1,Credit Card,True,185.82,2024,8,3,False
316,25,2024-11-26,Books,21.83,1,Credit Card,True,21.83,2024,11,1,False
317,848,2024-04-20,Clothing,162.32,2,Credit Card,True,324.64,2024,4,5,True
318,634,2024-10-03,Sports,163.47,4,Credit Card,True,653.88,2024,10,3,False
319,542,2024-04-12,Clothing,124.22,4,Credit Card,False,496.88,2024,4,4,False
320,191,2024-06-27,Home & Garden,210.6,1,Credit Card,True,210.6,2024,6,3,False
