transaction_id,customer_id,date,product_category,amount,items_count,payment_method,is_online
45,361,2024-10-16,Clothing,22.07,2,Credit Card,True
46,325,2024-01-29,Clothing,119.99,2,PayPal,True
47,689,2024-05-22,Books,12.96,3,Credit Card,True
48,636,2024-03-07,Clothing,138.22,2,Credit Card,True
49,669,2024-04-26,Books,12.73,1,Credit Card,True
50,483,2024-01-25,Home & Garden,102.2,2,PayPal,True
51,778,2024-09-30,Books,38.27,4,Credit Card,True
52,508,2024-03-29,Books,44.64,1,Credit Card,True
53,79,2024-02-01,Sports,190.72,4,Credit Card,True
54,610,2024-11-17,Home & Garden,43.63,1,Credit Card,True
55,137,2024-07-01,Electronics,1885.34,2,Credit Card,False
56,928,2024-02-28,Clothing,58.64,2,Credit Card,True
57,419,2024-04-12,Clothing,154.71,3,PayPal,False
58,605,2024-09-30,Home & Garden,148.36,3,Credit Card,True
59,41,2024-06-25,Electronics,1431.65,1,Credit Card,True
60,47,2024-10-10,Home & Garden,126.11,2,Credit Card,True
61,61,2024-01-29,Books,34.27,3,Credit Card,True
62,338,2024-11-04,Clothing,88.99,4,Bank Transfer,True
63,970,2023-12-20,Books,39.72,4,Bank Transfer,True
64,721,2024-09-30,Clothing,57.12,3,Credit Card,True
65,865,2024-06-13,Home & Garden,262.15,2,PayPal,True
66,570,2023-12-15,Sports,168.54,2,Credit Card,True
67,619,2024-11-05,Home & Garden,241.68,2,PayPal,True
68,698,2024-06-10,Books,18.04,2,Credit Card,True
69,988,2024-05-19,Home & Garden,105.88,3,Credit Card,True
70,614,2024-11-04,Electronics,312.57,1,Credit Card,True
71,242,2024-08-25,Sports,210.96,3,Credit Card,True
72,140,2024-03-04,Home & Garden,169.05,3,Credit Card,True
73,52,2024-01-03,Clothing,162.07,3,Credit Card,False
74,548,2024-08-24,Sports,104.75,2,Credit Card,True
75,213,2024-01-30,Electronics,846.19,3,PayPal,True
76,630,2024-03-26,Electronics,1386.19,1,Credit Card,True
77,895,2024-05-12,Electronics,662.29,3,PayPal,True
78,495,2024-08-22,Home & Garden,61.74,1,PayPal,False
79,646,2024-08-26,Sports,140.86,2,Credit Card,True
80,416,2024-08-12,Books,24.17,4,Credit Card,True
81,540,2024-12-01,Clothing,64.16,3,Credit Card,True
82,664,2024-10-01,Home & Garden,296.29,1,Credit Card,True
83,195,2024-01-17,Books,26.47,2,Credit Card,True
84,141,2024-04-10,Books,33.02,1,Credit Card,True
85,245,2024-01-27,Electronics,1872.94,3,Credit Card,True
86,325,2024-03-05,Sports,226.53,3,PayPal,False
87,753,2024-10-11,Electronics,1606.24,1,PayPal,True
88,629,2024-03-05,Sports,81.99,1,PayPal,True
89,93,2024-09-17,Electronics,1702.32,3,Credit Card,True
90,339,2024-07-18,Sports,217.37,1,Credit Card,True
91,232,2024-07-19,Electronics,1813.37,4,Credit Card,True
92,751,2024-06-10,Home & Garden,230.63,3,Credit Card,True
93,82,2024-01-25,Sports,140.51,2,Credit Card,False
94,746,2024-05-05,Books,27.86,3,Credit Card,True
95,951,2024-10-11,Books,24.98,4,PayPal,True
96,96,2023-12-31,Books,25.17,2,PayPal,True
97,671,2024-08-10,Home & Garden,55.75,4,Credit Card,True
98,250,2024-02-02,Electronics,1585.72,1,Credit Card,True
99,721,2023-12-23,Home & Garden,211.21,4,PayPal,True
100,265,2024-05-06,Home & Garden,135.5,2,Bank Transfer,True
101,789,2024-10-09,Books,40.97,2,Credit Card,True
102,844,2024-06-25,Clothing,94.69,3,Credit Card,True
103,825,2024-11-02,Books,33.99,2,Credit Card,False
104,395,2024-05-19,Home & Garden,180.64,2,PayPal,True
105,791,2024-07-19,Clothing,192.53,1,Credit Card,True
106,678,2024-05-04,Books,19.0,2,Credit Card,True
107,622,2024-03-18,Clothing,137.85,3,Credit Card,True
108,480,2024-03-08,Home & Garden,295.49,4,Credit Card,True
109,161,2024-11-14,Home & Garden,88.65,1,Credit Card,True
110,608,2024-07-02,Sports,210.47,4,Credit Card,True
111,56,2024-06-08,Electronics,1076.98,3,Bank Transfer,False
112,258,2024-03-23,Clothing,64.82,2,PayPal,False
113,276,2024-07-25,Books,23.07,3,PayPal,True
114,365,2023-12-31,Books,19.66,3,Credit Card,True
115,459,2024-06-08,Books,43.97,2,Credit Card,True
116,803,2024-09-17,Sports,28.24,2,Bank Transfer,True
117,928,2024-06-12,Home & Garden,256.02,3,Credit Card,False
118,853,2024-08-09,Sports,157.06,1,Credit Card,True
119,683,2024-09-29,Books,15.54,1,Credit Card,True
120,622,2024-06-12,Books,34.74,3,Credit Card,False
121,562,2024-04-10,Home & Garden,247.19,4,Bank Transfer,True
122,189,2024-07-10,Books,37.1,2,Credit Card,False
123,645,2024-01-04,Home & Garden,216.54,3,Bank Transfer,True
124,833,2024-10-09,Books,42.41,1,Credit Card,True
125,943,2024-05-17,Clothing,170.73,2,Credit Card,True
126,375,2024-10-14,Electronics,1429.32,4,Credit Card,True
127,156,2024-06-11,Books,48.14,1,Credit Card,True
128,804,2024-11-16,Clothing,153.3,4,Credit Card,True
129,296,2024-05-17,Sports,161.54,4,Credit Card,True
130,519,2024-10-28,Books,49.05,4,Credit Card,True
131,931,2024-06-16,Electronics,157.05,2,PayPal,True
132,264,2024-05-19,Electronics,1710.04,2,Credit Card,True
133,631,2024-03-19,Sports,208.82,4,PayPal,True
134,98,2024-10-02,Books,18.43,2,Credit Card,True
135,928,2024-10-21,Clothing,98.92,4,Bank Transfer,True
136,56,2023-12-18,Home & Garden,85.96,4,Credit Card,True
137,650,2024-11-03,Home & Garden,128.71,4,PayPal,True
138,794,2024-09-17,Sports,227.1,2,Credit Card,False
139,31,2024-12-01,Clothing,121.41,4,Credit Card,True
140,424,2024-08-06,Clothing,45.93,3,Credit Card,True
141,65,2024-04-09,Electronics,1970.05,2,PayPal,True
142,777,2024-03-09,Clothing,150.5,4,Credit Card,False
143,399,2024-08-28,Electronics,696.36,3,Credit Card,True
144,40,2024-07-17,Electronics,130.06,1,Credit Card,True
145,428,2024-11-04,Home & Garden,256.32,3,Credit Card,True
146,187,2024-01-02,Home & Garden,168.74,4,Credit Card,False
147,390,2024-09-26,Sports,155.35,2,PayPal,True
148,551,2024-10-01,Home & Garden,130.49,4,Credit Card,True
149,53,2024-05-04,Home & Garden,260.65,3,Credit Card,False
150,422,2024-05-26,Sports,150.72,2,Credit Card,True
151,906,2024-03-31,Books,13.48,1,PayPal,True
152,702,2024-02-08,Sports,176.37,1,Credit Card,True
153,487,2024-11-29,Home & Garden,198.34,2,PayPal,True
154,337,2024-03-14,Sports,91.14,4,Bank Transfer,True
155,474,2024-08-23,Books,46.34,3,Credit Card,True
156,272,2024-12-10,Sports,196.1,3,Credit Card,False
157,733,2024-04-18,Clothing,168.96,1,PayPal,True
158,936,2024-08-18,Electronics,1373.06,4,Credit Card,True
159,926,2024-02-03,Home & Garden,148.31,2,Bank Transfer,True
160,98,2024-05-18,Books,19.5,3,Credit Card,True
161,953,2024-10-01,Electronics,1852.5,4,Credit Card,False
162,139,2024-08-31,Books,15.02,1,Credit Card,True
163,853,2024-10-17,Sports,112.15,2,Credit Card,True
164,822,2024-05-26,Books,41.01,3,Credit Card,True
165,115,2024-10-10,Sports,34.34,3,Credit Card,True
166,184,2024-11-14,Books,43.92,3,Credit Card,True
167,177,2024-02-17,Clothing,81.16,1,Credit Card,True
168,228,2024-04-09,Electronics,927.73,3,Credit Card,True
169,796,2024-05-16,Books,49.67,1,Bank Transfer,True
170,900,2024-07-28,Clothing,63.2,4,Credit Card,True
171,537,2024-02-26,Sports,67.61,4,Credit Card,True
172,916,2023-12-18,Clothing,124.02,3,Credit Card,True
173,464,2024-08-21,Books,10.28,4,PayPal,True
174,983,2023-12-27,Clothing,84.22,4,Bank Transfer,True
175,246,2024-09-14,Electronics,1486.45,3,Credit Card,True
176,628,2024-05-12,Electronics,429.35,1,Credit Card,True
177,250,2024-02-14,Clothing,133.8,4,Credit Card,True
178,875,2024-08-22,Electronics,514.03,3,PayPal,False
179,739,2024-05-12,Home & Garden,171.25,4,PayPal,True
180,180,2024-05-26,Electronics,1670.45,1,PayPal,True
181,311,2024-11-05,Sports,51.71,1,Credit Card,True
182,752,2024-12-10,Books,39.55,4,PayPal,False
183,844,2024-09-13,Home & Garden,243.16,4,Credit Card,False
184,890,2024-09-09,Home & Garden,100.11,3,PayPal,True
185,247,2024-11-11,Clothing,29.5,4,Credit Card,True
186,111,2024-01-26,Sports,56.02,2,Credit Card,False
187,22,2024-06-29,Electronics,1802.18,4,Credit Card,False
188,602,2024-07-24,Electronics,260.91,1,Credit Card,False
189,366,2024-11-28,Books,25.24,1,Credit Card,True
190,753,2024-04-11,Sports,70.96,4,Credit Card,False
191,407,2024-05-09,Electronics,1243.2,3,Credit Card,True
192,448,2024-04-14,Books,48.85,1,Bank Transfer,False
193,887,2024-11-23,Home & Garden,238.86,3,PayPal,True
194,916,2024-09-03,Books,37.25,2,PayPal,False
195,381,2024-07-20,Sports,227.33,2,Credit Card,True
196,966,2024-02-02,Sports,146.0,1,Credit Card,True
197,808,2024-06-08,Home & Garden,37.87,4,Credit Card,True
198,864,2024-04-19,Home & Garden,221.73,3,Credit Card,True
199,159,2024-05-25,Books,22.52,2,PayPal,False
200,103,2024-08-09,Books,35.19,3,Credit Card,True
201,197,2024-05-05,Clothing,91.68,2,PayPal,True
202,350,2024-08-12,Sports,78.36,4,Credit Card,False
203,146,2024-03-16,Clothing,107.12,4,Credit Card,False
204,447,2024-01-24,Books,43.14,3,Bank Transfer,False
205,849,2024-02-19,Home & Garden,86.94,4,PayPal,False
206,980,2024-07-15,Electronics,1588.27,3,Credit Card,True
207,316,2024-09-27,Electronics,1353.06,1,Credit Card,True
208,791,2024-05-24,Electronics,1283.23,3,Credit Card,True
209,924,2024-04-19,Electronics,1174.3,3,PayPal,False
210,494,2024-02-02,Electronics,747.04,3,Credit Card,True
211,48,2024-04-30,Home & Garden,50.74,3,Credit Card,False
212,903,2024-05-17,Sports,77.08,4,Credit Card,True
213,54,2024-01-16,Clothing,95.6,3,Credit Card,True
214,656,2024-03-25,Clothing,160.69,3,Credit Card,True
215,700,2024-01-14,Home & Garden,182.88,2,Credit Card,True
216,591,2024-10-01,Books,46.17,3,Credit Card,True
217,12,2024-07-24,Home & Garden,254.74,1,Credit Card,True
218,981,2024-12-04,Home & Garden,281.21,4,Credit Card,True
219,613,2024-07-14,Home & Garden,87.0,2,PayPal,False
220,293,2024-03-02,Sports,100.24,4,PayPal,True
221,618,2024-11-21,Sports,206.22,3,Bank Transfer,True
222,838,2024-01-28,Electronics,786.04,2,Credit Card,True
223,30,2024-10-28,Home & Garden,121.13,2,Credit Card,True
224,868,2024-11-20,Sports,100.89,3,Credit Card,True
225,550,2024-10-03,Books,45.0,3,PayPal,True
226,50,2024-01-09,Home & Garden,42.23,3,PayPal,True
227,836,2024-02-16,Clothing,34.62,2,Credit Card,True
228,147,2024-07-06,Home & Garden,208.04,1,Credit Card,True
229,288,2024-01-25,Sports,122.73,2,Credit Card,True
230,864,2024-07-21,Electronics,1325.24,3,Bank Transfer,True
231,907,2024-01-06,Electronics,1581.08,2,Credit Card,True
232,225,2023-12-30,Electronics,470.52,3,Credit Card,True
233,618,2024-03-07,Clothing,112.09,3,Credit Card,False
234,331,2024-05-31,Books,22.97,2,PayPal,False
235,656,2024-01-31,Electronics,102.56,4,Credit Card,True
236,778,2024-02-18,Sports,77.5,1,PayPal,True
237,246,2024-05-18,Sports,72.78,1,PayPal,True
238,336,2024-07-03,Electronics,448.56,1,Bank Transfer,True
239,858,2024-05-25,Home & Garden,198.14,1,Credit Card,True
240,578,2024-01-26,Home & Garden,211.67,4,Credit Card,True
241,78,2024-06-01,Electronics,195.79,4,Credit Card,True
242,906,2024-08-24,Sports,45.22,2,Credit Card,False
243,332,2024-07-15,Clothing,45.79,4,Bank Transfer,True
244,356,2024-05-09,Sports,94.27,1,PayPal,False
245,663,2023-12-13,Books,20.88,3,Bank Transfer,True
246,462,2024-04-25,Books,10.65,2,PayPal,False
247,711,2024-10-27,Sports,55.28,4,Bank Transfer,True
248,610,2024-03-26,Home & Garden,57.93,4,PayPal,True
249,865,2024-04-11,Books,38.49,1,Credit Card,True
250,251,2024-05-14,Sports,152.29,1,Credit Card,False
251,941,2024-01-22,Clothing,89.97,1,Credit Card,True
252,855,2024-09-07,Home & Garden,77.76,3,Bank Transfer,True
253,528,2024-09-04,Clothing,180.44,3,PayPal,True
254,849,2024-06-01,Electronics,1377.76,2,Credit Card,True
255,131,2024-06-07,Electronics,343.82,3,Credit Card,True
256,73,2024-06-28,Home & Garden,265.67,2,Bank Transfer,True
257,653,2024-06-07,Books,40.7,4,Credit Card,True
258,211,2024-05-26,Books,48.54,4,Credit Card,True
259,924,2024-07-28,Sports,44.36,3,PayPal,False
260,666,2024-10-31,Books,42.8,2,Credit Card,True
261,742,2024-05-06,Home & Garden,272.44,4,Credit Card,True
262,359,2024-01-30,Books,49.86,4,PayPal,True
263,563,2024-08-17,Books,31.19,1,Credit Card,True
264,381,2024-08-16,Electronics,675.73,4,PayPal,True
265,7,2024-08-12,Electronics,883.33,2,Credit Card,True
266,540,2024-04-21,Clothing,194.48,2,PayPal,True
267,164,2024-03-17,Electronics,407.65,2,Credit Card,True
268,93,2024-06-22,Home & Garden,61.09,4,Bank Transfer,True
269,559,2024-06-14,Books,27.68,4,Credit Card,True
270,490,2024-12-05,Electronics,1332.65,2,Credit Card,True
271,391,2024-02-10,Electronics,862.78,4,Credit Card,True
272,930,2024-12-08,Home & Garden,228.28,3,PayPal,True
273,457,2024-06-06,Clothing,123.86,1,Credit Card,True
274,635,2024-02-17,Home & Garden,182.78,2,Credit Card,True
275,528,2023-12-23,Sports,59.08,3,Credit Card,True
276,944,2024-11-03,Clothing,110.45,2,Credit Card,True
277,268,2024-05-04,Home & Garden,127.14,2,Credit Card,False
278,383,2024-01-01,Electronics,1944.79,1,Credit Card,True
279,101,2024-09-08,Books,49.83,2,PayPal,True
280,524,2024-08-16,Sports,164.03,3,Bank Transfer,True
281,161,2024-04-21,Sports,54.74,3,PayPal,True
282,950,2024-03-13,Home & Garden,191.85,3,Credit Card,True
283,929,2023-12-14,Clothing,28.71,2,Credit Card,True
284,881,2024-09-05,Home & Garden,245.94,2,Credit Card,False
285,25,2024-06-10,Clothing,22.62,3,Bank Transfer,True
286,224,2024-05-06,Home & Garden,33.87,1,Credit Card,True
287,727,2024-05-29,Sports,196.83,4,PayPal,True
288,783,2024-08-11,Clothing,49.41,3,PayPal,True
289,518,2024-08-23,Books,44.19,1,Credit Card,True
290,340,2024-06-20,Clothing,111.03,1,Credit Card,True
291,195,2024-12-03,Sports,150.52,1,Credit Card,False
292,425,2024-03-09,Clothing,117.43,1,Credit Card,True
293,985,2024-02-10,Electronics,422.79,1,PayPal,True
294,420,2024-03-08,Electronics,1980.06,3,PayPal,True
295,555,2024-01-13,Sports,89.33,3,Credit Card,True
296,56,2024-07-10,Books,40.64,1,Credit Card,True
297,68,2024-02-14,Electronics,1978.23,4,Bank Transfer,True
298,269,2024-05-29,Sports,46.82,2,PayPal,True
299,813,2024-06-20,Clothing,186.04,3,Credit Card,True
300,147,2024-11-07,Books,23.0,2,PayPal,False
301,728,2024-04-23,Home & Garden,200.29,3,Bank Transfer,True
302,850,2024-09-27,Books,39.23,4,PayPal,True
303,891,2024-06-15,Home & Garden,263.93,1,Bank Transfer,False
304,168,2024-09-23,Books,37.03,2,Credit Card,False
305,419,2024-06-22,Home & Garden,65.91,4,PayPal,True
306,744,2024-09-18,Clothing,198.48,1,Credit Card,True
307,875,2023-12-26,Books,24.31,3,Credit Card,True
308,313,2024-08-31,Sports,149.53,1,Credit Card,True
309,682,2024-07-30,Books,41.21,4,PayPal,True
310,109,2024-02-03,Sports,204.15,2,Credit Card,True
311,343,2024-07-17,Electronics,596.53,1,Credit Card,True
312,537,2024-10-15,Clothing,21.16,2,Bank Transfer,True
313,75,2024-07-23,Sports,48.55,3,Credit Card,True
314,146,2024-04-15,Books,24.47,4,Credit Card,False
315,153,2024-08-08,Home & Garden,185.82,1,Credit Card,True
316,25,2024-11-26,Books,21.83,1,Credit Card,True
317,848,2024-04-20,Clothing,162.32,2,Credit Card,True
318,634,2024-10-03,Sports,163.47,4,Credit Card,True
319,542,2024-04-12,Clothing,124.22,4,Credit Card,False
320,191,2024-06-27,Home & Garden,210.6,1,Credit Card,True
321,889,2024-02-08,Books,38.28,1,Credit Card,True
322,605,2024-11-29,Clothing,23.41,1,PayPal,True
323,496,2024-06-04,Books,19.24,1,Credit Card,True
324,509,2024-02-18,Sports,218.3,4,Credit Card,True
325,73,2024-02-08,Home & Garden,168.3,2,Credit Card,True
326,151,2024-07-08,Sports,93.26,3,PayPal,True
327,788,2024-04-20,Clothing,29.8,1,PayPal,True
328,106,2024-10-03,Home & Garden,129.08,3,Credit Card,True
329,979,2024-05-12,Sports,116.2,3,Credit Card,False
330,324,2024-11-27,Electronics,1527.43,3,PayPal,True
331,870,2024-09-03,Books,25.07,3,PayPal,False
332,584,2024-05-16,Books,22.68,4,Credit Card,True
333,973,2024-12-05,Sports,217.88,2,Credit Card,False
334,215,2024-07-31,Clothing,142.86,1,Credit Card,True
335,538,2024-08-19,Books,22.24,4,PayPal,False
336,602,2024-06-19,Books,23.15,4,Credit Card,False
337,788,2024-08-22,Books,22.52,3,PayPal,False
338,191,2024-05-26,Sports,177.49,4,PayPal,True
339,616,2024-12-05,Sports,186.43,3,Credit Card,True
340,123,2024-01-16,Electronics,1385.62,1,Credit Card,True
341,699,2024-05-17,Electronics,975.71,1,Bank Transfer,False
342,116,2024-03-17,Books,36.84,1,Bank Transfer,True
343,24,2024-08-18,Home & Garden,60.4,2,Credit Card,True
344,271,2024-10-23,Books,35.26,4,PayPal,True
345,361,2023-12-24,Sports,199.49,4,Credit Card,False
346,753,2024-03-18,Home & Garden,293.46,2,Credit Card,True
347,98,2024-09-21,Sports,124.15,1,Credit Card,True
348,550,2024-11-28,Electronics,1967.21,2,Credit Card,True
349,568,2024-09-09,Electronics,888.78,1,Credit Card,False
350,784,2024-02-10,Sports,170.97,1,Credit Card,True
351,132,2024-09-18,Clothing,138.94,2,Credit Card,False
352,69,2024-07-17,Sports,25.37,3,Credit Card,True
353,426,2024-06-10,Sports,48.72,3,Bank Transfer,False
354,439,2024-07-08,Clothing,41.67,2,PayPal,True
355,513,2024-05-10,Electronics,684.64,1,Credit Card,True
356,284,2024-08-28,Electronics,310.15,4,Bank Transfer,True
357,599,2023-12-16,Clothing,69.41,1,Credit Card,False
358,113,2024-04-27,Sports,179.47,1,Credit Card,False
359,798,2024-04-06,Books,31.4,4,Bank Transfer,True
360,775,2024-02-20,Clothing,70.3,2,Credit Card,False
361,882,2023-12-15,Home & Garden,102.11,2,Credit Card,True
362,298,2024-06-11,Home & Garden,251.09,4,Bank Transfer,True
363,694,2024-04-15,Electronics,360.34,4,Credit Card,True
364,951,2024-01-31,Electronics,893.05,2,Credit Card,False
365,499,2024-10-31,Sports,49.03,3,Credit Card,True
366,273,2024-02-22,Clothing,77.67,1,PayPal,False
367,568,2024-10-16,Books,12.82,3,PayPal,True
368,477,2024-05-28,Sports,42.52,3,Credit Card,True
369,891,2024-10-12,Home & Garden,160.37,2,Credit Card,True
370,704,2024-06-24,Clothing,22.59,3,PayPal,True
371,847,2024-07-03,Home & Garden,131.8,4,PayPal,True
372,2,2024-12-02,Books,17.77,1,Credit Card,True
373,340,2024-08-05,Electronics,395.97,1,Credit Card,True
374,97,2024-03-08,Sports,238.93,1,Bank Transfer,False
375,97,2024-11-06,Clothing,52.24,4,Credit Card,True
376,567,2024-09-06,Clothing,111.47,2,Credit Card,True
377,547,2024-09-24,Clothing,133.14,1,Credit Card,False
378,314,2024-11-10,Books,37.86,3,Credit Card,True
379,736,2024-12-06,Home & Garden,126.11,3,PayPal,True
380,126,2024-05-17,Sports,120.85,3,Credit Card,True
381,56,2024-05-18,Home & Garden,217.94,3,PayPal,True
382,498,2024-08-04,Books,25.13,2,PayPal,True
383,790,2024-05-23,Home & Garden,45.05,1,Credit Card,True
384,429,2024-01-03,Electronics,379.61,4,Credit Card,True
385,130,2023-12-26,Electronics,1019.33,2,PayPal,True
386,117,2024-02-10,Electronics,1935.08,4,PayPal,True
387,695,2024-07-13,Clothing,34.57,1,Credit Card,True
388,557,2024-09-21,Sports,70.28,2,PayPal,True
389,404,2024-10-26,Clothing,178.56,1,Credit Card,True
390,997,2024-04-09,Home & Garden,230.85,4,Credit Card,True
391,433,2024-01-09,Home & Garden,253.93,3,Credit Card,False
392,929,2024-09-27,Electronics,1642.43,3,PayPal,True
393,355,2024-05-26,Clothing,162.91,1,PayPal,True
394,912,2024-06-06,Home & Garden,231.1,1,Credit Card,True
395,200,2024-07-08,Clothing,103.56,2,PayPal,True
396,334,2024-02-17,Electronics,314.4,2,Credit Card,True
397,724,2024-10-10,Sports,48.88,4,PayPal,False
398,286,2024-10-24,Home & Garden,272.45,4,Credit Card,True
399,748,2024-03-05,Clothing,111.97,4,Credit Card,True
400,87,2024-09-24,Electronics,733.96,1,PayPal,True
401,276,2024-06-08,Home & Garden,283.45,3,PayPal,True
402,78,2024-03-15,Home & Garden,113.54,4,PayPal,True
403,278,2024-11-24,Home & Garden,118.52,3,PayPal,True
404,774,2024-09-19,Books,44.79,3,Credit Card,True
405,523,2024-07-22,Sports,121.83,2,PayPal,True
406,271,2024-09-10,Electronics,644.3,2,Credit Card,True
407,422,2024-01-19,Books,47.14,1,Credit Card,False
408,652,2024-02-22,Clothing,114.97,2,Credit Card,False
409,657,2024-05-03,Electronics,1111.69,4,Credit Card,True
410,106,2024-09-18,Clothing,131.09,4,Credit Card,True
411,81,2024-01-17,Home & Garden,189.76,4,Credit Card,True
412,895,2024-07-25,Electronics,1030.59,4,Credit Card,True
413,522,2024-05-14,Home & Garden,99.52,4,Credit Card,True
414,981,2024-01-05,Clothing,120.47,2,Credit Card,False
415,129,2024-02-22,Electronics,169.75,4,Credit Card,False
416,390,2024-07-20,Clothing,132.23,2,Credit Card,True
417,248,2024-10-03,Sports,163.19,2,Credit Card,True
418,952,2024-05-06,Clothing,39.11,4,PayPal,True
419,110,2024-06-15,Clothing,88.04,2,Credit Card,True
420,57,2024-06-15,Clothing,96.49,3,Credit Card,True
421,213,2024-03-29,Electronics,598.58,1,Credit Card,True
422,882,2024-04-10,Books,36.15,2,Credit Card,True
423,309,2024-01-04,Home & Garden,236.98,3,PayPal,True
424,943,2024-11-29,Electronics,1431.64,4,PayPal,True
425,954,2024-03-08,Books,20.61,4,Credit Card,False
426,904,2024-11-24,Sports,230.38,1,Credit Card,True
427,797,2024-03-28,Books,44.08,3,Credit Card,True
428,971,2024-08-26,Clothing,193.46,1,PayPal,True
429,903,2024-03-05,Sports,216.46,4,Credit Card,True
430,329,2024-11-10,Home & Garden,73.36,1,PayPal,False
431,169,2024-06-14,Sports,96.15,3,Credit Card,False
432,416,2023-12-23,Home & Garden,111.26,4,Credit Card,True
433,11,2024-08-26,Home & Garden,196.49,1,Bank Transfer,True
434,237,2024-05-07,Sports,215.64,1,Credit Card,True
435,255,2024-10-05,Sports,213.69,3,Credit Card,True
436,602,2023-12-21,Home & Garden,111.49,1,Credit Card,True
437,694,2024-03-03,Home & Garden,253.98,1,Bank Transfer,True
438,365,2024-10-15,Clothing,85.41,2,Credit Card,True
439,200,2024-09-02,Electronics,1865.87,2,Credit Card,True
440,221,2024-09-20,Sports,79.51,2,Credit Card,False
441,848,2024-02-24,Clothing,195.79,4,Credit Card,True
442,573,2024-02-07,Electronics,443.25,3,Credit Card,True
443,105,2024-03-27,Clothing,108.06,3,Credit Card,True
444,336,2024-09-27,Clothing,61.47,2,Credit Card,True
445,785,2024-04-05,Clothing,30.33,3,Credit Card,True
446,561,2024-02-22,Clothing,163.22,4,PayPal,True
447,561,2024-04-24,Clothing,139.04,3,Credit Card,True
448,811,2024-09-05,Books,44.27,1,PayPal,True
449,911,2024-11-15,Sports,127.8,4,Credit Card,True
450,214,2024-01-05,Books,44.55,2,Credit Card,True
451,824,2024-05-30,Sports,222.49,3,Credit Card,True
452,207,2024-07-14,Home & Garden,292.4,1,Credit Card,True
453,333,2024-10-28,Sports,68.35,2,Credit Card,True
454,365,2024-02-16,Books,19.1,4,Credit Card,True
455,325,2024-10-18,Clothing,197.86,2,Credit Card,True
456,394,2024-12-02,Clothing,147.74,4,PayPal,True
457,604,2024-04-25,Electronics,1308.23,2,Credit Card,True
458,58,2024-06-10,Sports,67.48,4,PayPal,True
459,484,2024-02-10,Books,10.42,2,PayPal,True
460,945,2024-02-24,Books,29.08,2,Credit Card,False
461,219,2024-11-21,Clothing,190.17,4,Bank Transfer,True
462,486,2024-06-13,Home & Garden,270.42,1,Credit Card,True
463,605,2024-11-23,Electronics,869.44,1,Credit Card,False
464,745,2024-11-02,Books,16.18,3,Credit Card,True
465,436,2024-06-23,Home & Garden,53.48,1,Credit Card,True
466,373,2024-09-16,Books,41.77,1,PayPal,False
467,42,2024-02-01,Clothing,116.76,1,Credit Card,True
